epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.402,0.42393,1.02632,0.97856,0.99961,1,0.995,0.95912,0.29847,1.15047,0.86279,0.000657658,0.000657658,0.000657658
2,219.988,0.39617,0.55587,0.9405,0.9821,0.99331,0.99473,0.91455,0.39147,0.53867,0.91389,0.00131121,0.00131121,0.00131121
3,307.836,0.3925,0.44709,0.92445,0.99956,1,0.995,0.96777,0.29073,0.40138,0.84334,0.00195157,0.00195157,0.00195157
4,396.48,0.37634,0.37931,0.91929,0.99919,1,0.995,0.94476,0.31543,0.29953,0.88327,0.0019406,0.0019406,0.0019406
5,482.937,0.36972,0.34072,0.92123,0.99936,1,0.995,0.94519,0.30877,0.32657,0.85438,0.0019208,0.0019208,0.0019208
6,571.5,0.35419,0.30527,0.91021,0.99744,1,0.995,0.96753,0.28142,0.25914,0.83688,0.001901,0.001901,0.001901
7,658.284,0.33637,0.28439,0.91125,0.99869,1,0.995,0.97564,0.26431,0.28717,0.83268,0.0018812,0.0018812,0.0018812
8,745.992,0.32094,0.2676,0.90937,0.99962,1,0.995,0.98112,0.25966,0.2417,0.82474,0.0018614,0.0018614,0.0018614
9,834.984,0.32903,0.26528,0.90506,0.99977,1,0.995,0.97176,0.26749,0.23352,0.83793,0.0018416,0.0018416,0.0018416
10,922.308,0.31957,0.25873,0.90311,0.9997,1,0.995,0.97243,0.23131,0.20583,0.80842,0.0018218,0.0018218,0.0018218
11,1008.74,0.31896,0.25037,0.9058,0.99909,1,0.995,0.98296,0.25006,0.23086,0.82106,0.001802,0.001802,0.001802
12,1097.5,0.31776,0.24606,0.8949,0.99981,1,0.995,0.98458,0.2302,0.19891,0.81253,0.0017822,0.0017822,0.0017822
13,1183.6,0.29943,0.23553,0.88917,0.99972,1,0.995,0.98015,0.23747,0.18978,0.81785,0.0017624,0.0017624,0.0017624
14,1270.82,0.29868,0.22735,0.89287,0.99966,1,0.995,0.98537,0.23395,0.22417,0.81216,0.0017426,0.0017426,0.0017426
15,1360.05,0.30967,0.23217,0.89894,0.9998,1,0.995,0.98933,0.20882,0.16956,0.79742,0.0017228,0.0017228,0.0017228
16,1446.97,0.29532,0.22152,0.89014,0.99981,1,0.995,0.9927,0.1981,0.16706,0.79114,0.001703,0.001703,0.001703
17,1534.52,0.28074,0.21764,0.89065,0.99981,1,0.995,0.99193,0.19114,0.17264,0.79569,0.0016832,0.0016832,0.0016832
18,1621.1,0.28805,0.21792,0.8908,0.99978,1,0.995,0.9905,0.20152,0.17,0.79504,0.0016634,0.0016634,0.0016634
19,1709.24,0.28295,0.21811,0.88829,0.9998,1,0.995,0.99216,0.19629,0.17121,0.79149,0.0016436,0.0016436,0.0016436
20,1798.9,0.28223,0.21576,0.89192,0.99982,1,0.995,0.99171,0.20433,0.17751,0.79501,0.0016238,0.0016238,0.0016238
21,1885.49,0.28661,0.21261,0.89022,0.99982,1,0.995,0.99381,0.18068,0.1489,0.78446,0.001604,0.001604,0.001604
22,1972.88,0.28089,0.21023,0.88875,0.99981,1,0.995,0.99124,0.19033,0.15644,0.78899,0.0015842,0.0015842,0.0015842
