Taxa	FTSWc	mean_NTR		
Belmineb_Rr_1	0.531351	0.56		
Billz	0.52127	0.4		
Fisher	0.374627	0.42		
Montrose	0.264712	0.44		
Shinycrow	0.32419	0.51		 
Colorado_1_Or_Croissant	0.320462	0.45		
Pr0340_3_3_1	0.43913	0.55		
Verano	0.39484	0.51		
Pr_0443_151	0.44106	0.45		
Ibc_301_204	0.357498	0.56		
Centapupil	0.629986	0.43		
F07_449_9_3	0.663337	0.42		
F04_2801_4_1_2	0.56896	0.46		
Seafarer	0.403672	0.46		
C_20	0.481366	0.47		
Mayflower	0.40479	0.55		
Raven	0.522841	0.54		
Kodiak	0.595099	0.51		
Matterhorn	0.334115	0.54		
Zorro	0.462002	0.44		
Santafe	0.588028	0.52		
P07863_Eldorado	0.6051378	0.65		
T39	0.9924084	0.43		
Merlot	0.584029	0.57		
Sedona	0.46576	0.73		
115M_Blackrhino	0.500676	0.7		
Poncho	0.271659	0.48		
Topaz	0.273945	0.44		
Buckskin	0.3633	0.4		
Lapaz	0.46283	0.5		
Schooner	0.472761	0.55		
Pinkfloyd	0.519479	0.57		
Medalist	0.52967	0.41		
Berylr	0.430942	0.57		
Marquis	0.365106	0.5		
Rog312	0.35436	0.42		
Midnight	0.449918	0.51		
Ui_537	0.434694	0.51		
Commonpinto	0.486171	0.64		
Commonredmexican	0.25787	0.54		
Kimberly	0.392361	0.54		
Ui_239	0.455882	0.66		
Us_1140	0.434108	0.39		
Ui_59	0.425174	0.38		
Ui_425	0.383797	0.45		
Weihing	0.371727	0.48		
Coyne	0.359381	0.56		
Abcp_8	0.262502	0.96		
Chase	0.46596	0.4		
Ne2_09_3	0.406851	0.44		
A_55	0.50603	0.82		
I9365_31	0.387629	0.52		
Quincy	0.354547	0.48		
Tars_Vci_4B	0.55108	0.38		
Nodak	0.6246874	0.45		
Othello	0.29785	0.37		
Pt7_2	0.496548	0.47		
Uspt_Cbb_1	0.420274	0.53		
Uspt_Cbb_5_1	0.418564	0.59		
Nw_63	0.639048	0.43		
Usrm_20	0.469653	0.65		
Victor	0.484302	0.73		
Viva	0.460112	0.43		
Roza	0.514416	0.48		
Harold	0.228699	0.6		
Gloria	0.591419	0.61		
A285	0.29583	0.71		
Bat_477	0.359782	0.49		
Sea10	0.473267	0.63		
Gn9_4	0.480935	0.51		
Gn9_1	0.467445	0.54		
Pt9_17	0.544438	0.43		
Maverick	0.560657	0.47		
Lariat	0.46533	0.58		
Stampede	0.3395	0.53		
Avalanche	0.38527	0.53		
Cdccrocus	0.44393	0.48		
Gemini	0.54165	0.42		
Orion	0.3887	0.4		
Yolano	0.39131	0.33		
Buster	0.269399	0.65		
Medicinehat	0.387439	0.65		
